song,album,track no.,track length,feature,feature
Endless Fashion,Pink Tape,11,3:37,Nicki Minaj,
"Mama, I'm Sorry",Pink Tape,12,3:31,,
All Alone,Pink Tape,13,3:43,,
Nakamura,Pink Tape,14,3:18,,
Just Wanna Rock,Pink Tape,15,2:04,,
Fire Alarm,Pink Tape,16,3:05,,
CS,Pink Tape,17,3:32,,
Werewolf,Pink Tape,18,4:00,Bring Me The Horizon,
Pluto to Mars,Pink Tape,19,4:06,,
Patience,Pink Tape,20,4:22,,
Days Come and Go,Pink Tape,21,4:18,,
Rehab,Pink Tape,22,4:05,,
The End,Pink Tape,23,3:07,BABYMETAL,
Zoom,Pink Tape,24,2:46,,
Of Course,Pink Tape,25,3:29,,
Shardai,Pink Tape,26,3:21,,
Changed My Phone,1017 vs The World,1,2:56,Gucci Mane,
Today!!,1017 vs The World,2,1:53,Gucci Mane,
Blonde Brigitte,1017 vs The World,3,3:43,Gucci Mane,
Fresh,1017 vs The World,4,2:58,Gucci Mane,
Threesome,1017 vs The World,5,3:08,Gucci Mane,
Secure the Bag (1017),1017 vs The World,6,3:21,Gucci Mane,
SPACE CADET,RED & WHITE,1,2:47,,
I KNOW,RED & WHITE,2,3:12,,
FLEX UP,RED & WHITE,3,2:48,,
HITTIN MY SHOULDER,RED & WHITE,4,2:27,,
FOR FUN,RED & WHITE,5,3:08,,
CIGARETTE,RED & WHITE,6,3:02,,
ISSA HIT,RED & WHITE,7,4:03,,
GLOCK IN MY PURSE,RED & WHITE,8,3:45,,
F.F.,RED & WHITE,9,3:10,,
